s,n,t,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,T,gpa,y,FR
AFRO,101,"Black America, 1619-Present",0,3,9,4,3,2,1,0,1,0,0,0,0,0,23,3.3343478260869563,201001,0.13043478260869565
AGED,380,Leadership in Groups and Teams,0,5,10,5,1,1,0,0,0,0,0,0,1,0,23,3.4356521739130432,201001,0.21739130434782608
ANSC,100,Intro to Animal Sciences,7,14,0,2,7,0,2,1,0,0,0,0,0,0,33,3.5854545454545454,201001,0.6363636363636364
ANSC,205,World Animal Resources,0,33,0,0,35,0,0,3,0,0,0,0,1,0,72,3.375,201001,0.4583333333333333
ANSC,250,Companion Animals in Society,0,76,0,0,60,0,0,13,0,0,6,0,2,1,158,3.286624203821656,201001,0.4840764331210191
ANSC,298,Undergraduate Seminar,1,66,0,0,2,0,0,0,0,0,1,0,0,0,70,3.9285714285714284,201001,0.9571428571428572
ANSC,406,Zoo Animal Conservation Sci,0,35,0,0,23,0,0,0,0,0,0,0,0,0,58,3.603448275862069,201001,0.603448275862069
ANSC,409,Meat Science,2,10,0,0,7,0,0,3,0,0,0,0,0,0,22,3.409090909090909,201001,0.5454545454545454
ANSC,450,Comparative Immunobiology,2,18,0,3,13,0,0,1,0,0,0,0,0,0,37,3.5402702702702706,201001,0.5405405405405406
ANTH,103,Anthro in a Changing World,1,38,19,38,48,34,25,19,19,12,4,1,5,6,269,2.7971863117870726,201001,0.1482889733840304
ANTH,105,World Archaeology,12,5,12,7,16,15,9,13,4,0,10,0,6,3,112,2.63348623853211,201001,0.1559633027522936
ANTH,399,Special Topics,0,11,3,2,3,3,1,0,0,0,0,0,0,0,23,3.5221739130434786,201001,0.4782608695652174
ANTH,462,Museum Theory and Practice,16,6,1,2,0,0,0,0,0,0,0,0,0,1,26,3.9332,201001,0.88
ARCH,199,Undergraduate Open Seminar,78,18,10,13,16,4,1,2,0,0,1,0,7,0,150,3.533333333333333,201001,0.64
ARTD,211,Design History Survey,20,41,5,3,1,0,0,0,0,0,0,0,0,0,70,3.9334285714285717,201001,0.8714285714285714
ARTD,302,Industrial Design IV,0,3,11,8,7,1,1,1,0,0,0,0,0,0,32,3.3440624999999997,201001,0.09375
ARTH,446,Art Since 1940,1,7,3,6,3,2,1,2,0,0,0,0,0,0,25,3.3464,201001,0.32
ASTR,122,Stars and Galaxies,2,13,11,6,41,7,10,12,3,1,3,0,0,1,110,2.9236697247706425,201001,0.13761467889908258
ASTR,330,Extraterrestrial Life,1,55,5,11,16,1,1,4,4,1,0,0,0,1,100,3.515050505050505,201001,0.5656565656565656
ASTR,414,Astronomical Techniques,0,12,0,1,5,0,0,2,0,0,1,0,3,0,24,2.9720833333333334,201001,0.5
ATMS,100,Introduction to Meteorology,33,286,55,57,50,11,7,5,0,1,4,0,3,3,515,3.6692773437499993,201001,0.623046875
ATMS,120,Severe and Hazardous Weather,371,446,91,51,61,13,15,9,4,2,2,6,2,0,1073,3.78175209692451,201001,0.7614165890027959
ATMS,140,Climate and Global Change,0,16,0,0,23,0,0,10,0,0,0,0,5,0,54,2.8333333333333335,201001,0.2962962962962963
BADM,199,Undergraduate Open Seminar,1,25,11,3,0,0,0,0,0,0,0,0,0,0,40,3.8590000000000004,201001,0.65
BADM,300,The Legal Environment of Bus,15,81,19,28,42,27,18,19,13,5,5,6,5,1,284,3.0472791519434628,201001,0.3392226148409894
BADM,310,Mgmt and Organizational Beh,96,99,85,84,57,52,39,27,26,10,14,3,6,2,600,3.175769230769231,201001,0.32608695652173914
BADM,320,Principles of Marketing,9,58,105,105,120,64,64,33,22,13,7,1,5,2,608,2.987953795379538,201001,0.11056105610561057
BADM,322,Marketing Research,0,14,15,7,15,5,6,5,0,0,0,0,0,0,67,3.234179104477612,201001,0.208955223880597
BADM,323,Marketing Communications,0,27,0,0,2,0,0,0,0,0,0,0,0,0,29,3.9310344827586206,201001,0.9310344827586207
BADM,325,Consumer Behavior,3,17,23,15,10,7,0,3,0,0,0,0,0,0,78,3.4493589743589745,201001,0.2564102564102564
BADM,335,Supply Chain Management Basics,3,21,8,4,2,0,0,0,0,0,0,0,0,0,38,3.8073684210526317,201001,0.631578947368421
BADM,350,IT for Networked Organizations,10,46,42,25,9,3,1,1,0,0,0,0,0,0,137,3.654963503649635,201001,0.40875912408759124
BADM,352,Database Design and Management,2,3,7,5,8,4,5,0,0,2,0,0,0,0,36,3.0925000000000002,201001,0.1388888888888889
BADM,374,Management Decision Models,5,26,20,8,15,9,2,8,2,2,2,0,1,0,100,3.2173000000000007,201001,0.31
BADM,377,Project Management,0,6,8,18,7,3,1,1,0,0,0,0,0,0,44,3.332727272727273,201001,0.13636363636363635
BADM,378,Logistics Management,0,1,2,5,4,8,0,3,1,1,1,2,1,0,29,2.506551724137931,201001,0.034482758620689655
BADM,380,International Business,8,10,17,2,4,4,2,1,0,0,0,0,0,0,48,3.5497916666666662,201001,0.375
BADM,381,Multinational Management,0,4,8,16,7,2,0,1,0,0,0,0,0,0,38,3.341578947368421,201001,0.10526315789473684
BADM,382,International Marketing,5,41,6,10,3,2,0,0,0,0,0,0,0,0,67,3.7859701492537314,201001,0.6865671641791045
BADM,420,Advanced Marketing Management,0,3,20,20,14,0,0,0,0,0,0,0,0,0,57,3.4035087719298245,201001,0.05263157894736842
BADM,445,Small Business Consulting,2,23,0,1,1,0,0,0,0,0,0,0,0,0,27,3.938148148148148,201001,0.9259259259259259
BADM,449,Business Policy and Strategy,25,143,78,32,16,5,1,5,1,0,0,0,0,0,306,3.726045751633986,201001,0.5490196078431373
BADM,543,Technology Strategy,1,27,13,0,0,2,0,1,0,0,0,0,0,0,44,3.7965909090909093,201001,0.6363636363636364
BADM,544,Strategic Management,0,15,6,4,12,0,0,0,0,0,0,0,0,0,37,3.5497297297297297,201001,0.40540540540540543
BADM,589,Project Management,0,4,20,8,7,2,1,0,0,0,0,0,0,0,42,3.4454761904761915,201001,0.09523809523809523
BADM,590,Global Strategy,9,26,6,2,0,0,0,0,0,0,0,0,0,0,43,3.9227906976744187,201001,0.813953488372093
BIOC,446,Physical Biochemistry,7,10,10,7,11,1,3,2,0,1,0,0,1,0,53,3.3207547169811322,201001,0.32075471698113206
BIOC,455,Technqs Biochem & Biotech,6,11,7,2,5,3,2,3,3,0,0,0,1,0,43,3.2332558139534884,201001,0.3953488372093023
BTW,250,Principles Bus Comm,9,260,135,62,44,15,5,6,4,0,2,1,4,1,548,3.625155393053017,201001,0.49177330895795246
BTW,261,Principles Tech Comm,7,57,5,1,18,0,0,0,0,0,0,0,1,0,89,3.726741573033708,201001,0.7191011235955056
CEE,201,Systems Engrg & Economics,16,19,20,25,21,15,8,4,0,0,0,0,0,0,128,3.33078125,201001,0.2734375
CEE,202,Engineering Risk & Uncertainty,0,15,41,29,29,12,7,3,1,0,0,0,0,0,137,3.2851094890510955,201001,0.10948905109489052
CEE,300,Behavior of Materials,0,0,15,15,30,11,12,8,1,0,1,0,1,1,95,2.882978723404256,201001,0.0
CEE,310,Transportation Engineering,3,5,15,15,22,17,12,3,3,1,0,1,0,0,97,2.983092783505154,201001,0.08247422680412371
CEE,330,Environmental Engineering,3,45,26,7,8,1,0,0,0,0,0,0,0,0,90,3.748888888888889,201001,0.5333333333333333
CEE,350,Water Resources Engineering,3,9,3,9,13,1,3,5,1,1,0,0,0,0,48,3.138333333333333,201001,0.25
CEE,360,Structural Engineering,4,14,10,9,27,5,1,1,0,0,0,0,0,0,71,3.3429577464788736,201001,0.2535211267605634
CEE,380,Geotechnical Engineering,1,18,21,17,28,13,4,8,4,1,1,0,0,0,116,3.126896551724138,201001,0.16379310344827586
CEE,415,Geometric Design of Roads,5,6,10,6,4,0,1,1,0,0,0,0,0,2,35,3.545757575757576,201001,0.3333333333333333
CEE,420,Construction Productivity,0,14,15,10,8,14,3,0,0,0,0,0,0,0,64,3.32375,201001,0.21875
CEE,460,Steel Structures I,4,16,11,6,18,4,5,6,3,1,0,1,0,0,75,3.142533333333333,201001,0.26666666666666666
CEE,461,Reinforced Concrete I,3,8,5,16,16,6,9,2,1,1,0,0,0,0,67,3.098805970149254,201001,0.16417910447761194
CEE,465,Design of Structural Systems,0,1,4,4,5,2,9,12,0,1,1,0,0,0,39,2.554871794871795,201001,0.02564102564102564
CEE,470,Structural Analysis,1,5,4,3,7,10,1,6,1,0,1,0,0,0,39,2.906923076923077,201001,0.15384615384615385
CEE,570,Finite Element Methods,1,23,20,10,11,2,0,0,0,0,0,0,0,0,67,3.597611940298507,201001,0.3582089552238806
CEE,598,Special Topics,0,6,9,4,2,4,0,0,0,0,0,0,0,0,25,3.4812,201001,0.24
CHBE,321,Thermodynamics,11,22,14,14,19,15,13,11,10,0,0,0,1,1,131,3.0464615384615388,201001,0.25384615384615383
CHBE,422,Mass Transfer Operations,9,16,14,7,13,17,9,15,4,6,4,0,2,0,116,2.833706896551724,201001,0.21551724137931033
CHBE,424,Chemical Reaction Engineering,4,11,8,8,17,12,6,22,8,0,7,0,4,0,107,2.5923364485981306,201001,0.14018691588785046
CHBE,430,Unit Operations Laboratory,1,4,5,4,5,5,5,0,0,0,0,1,0,0,30,3.0780000000000003,201001,0.16666666666666666
CHBE,431,Process Design,4,7,6,12,6,9,16,1,0,0,0,0,1,0,62,3.020806451612903,201001,0.1774193548387097
CHBE,494,Special Topics,3,22,3,6,12,6,0,0,0,0,0,0,0,0,52,3.5194230769230774,201001,0.4807692307692308
CHEM,102,General Chemistry I,8,96,33,71,117,99,113,144,76,47,44,33,16,7,904,2.447826086956522,201001,0.11594202898550725
CHEM,103,General Chemistry Lab I,1,214,265,158,122,46,16,21,8,2,3,12,8,3,879,3.3719748858447494,201001,0.2454337899543379
CHEM,104,General Chemistry II,21,128,138,108,206,116,154,85,77,36,27,10,24,8,1138,2.768858407079646,201001,0.13185840707964602
CHEM,105,General Chemistry Lab II,30,231,356,164,177,73,57,21,10,14,10,15,9,3,1170,3.301396743787489,201001,0.2236503856041131
CHEM,108,"Chemistry, Everyday Phenomena",2,23,8,2,0,1,0,0,0,0,0,0,0,0,36,3.8525,201001,0.6944444444444444
CHEM,199,Undergraduate Open Seminar,20,287,4,6,2,3,0,0,0,0,0,0,0,0,322,3.9648136645962735,201001,0.953416149068323
CHEM,204,Accelerated Chemistry II,3,37,16,17,39,19,17,22,6,6,7,0,5,1,195,2.8436597938144335,201001,0.20618556701030927
CHEM,205,Accelerated Chemistry Lab II,7,28,11,14,56,8,22,23,9,2,1,1,5,1,188,2.8501069518716573,201001,0.18716577540106952
CHEM,232,Elementary Organic Chemistry I,35,40,39,44,43,45,35,25,30,39,21,22,36,5,459,2.4406607929515416,201001,0.16519823788546256
CHEM,233,Elementary Organic Chem Lab I,11,43,32,54,82,64,59,62,27,9,7,2,4,1,457,2.756600877192982,201001,0.11842105263157894
CHEM,236,Fundamental Organic Chem I,3,5,2,4,11,1,2,7,1,0,1,1,1,1,40,2.828974358974359,201001,0.20512820512820512
CHEM,312,Inorganic Chemistry,15,25,12,11,24,8,0,10,5,0,8,0,2,1,121,3.0865,201001,0.3333333333333333
CHEM,315,Instrumental Chem Systems Lab,0,6,5,7,12,15,11,7,1,0,0,0,1,2,67,2.815538461538461,201001,0.09230769230769231
CHEM,332,Elementary Organic Chem II,7,15,26,41,35,41,34,28,18,3,6,2,5,3,264,2.7242528735632185,201001,0.0842911877394636
CHEM,420,Instrumental Characterization,1,11,0,2,11,0,2,11,0,0,0,0,0,0,38,3.008421052631579,201001,0.3157894736842105
CHEM,436,Fundamental Organic Chem II,6,30,10,21,13,14,21,17,0,0,5,0,1,1,139,3.0068115942028983,201001,0.2608695652173913
CHEM,442,Physical Chemistry I,3,2,4,4,7,7,3,1,2,0,0,0,0,0,33,3.0309090909090908,201001,0.15151515151515152
CHLH,100,Contemporary Health,16,85,34,21,15,8,3,1,1,1,1,0,2,1,189,3.6067021276595748,201001,0.5372340425531915
CHLH,101,Introduction to Public Health,0,133,40,32,90,26,6,17,8,1,3,0,1,1,358,3.3345938375350137,201001,0.37254901960784315
CHLH,199,Undergraduate Open Seminar,25,91,15,7,6,4,3,3,4,0,2,0,2,0,162,3.6587037037037025,201001,0.7160493827160493
CHLH,206,Human Sexuality,81,192,100,50,96,42,22,35,16,9,21,6,10,4,684,3.250897058823529,201001,0.40147058823529413
CHLH,210,Community Health Organizations,6,52,15,14,24,6,2,6,1,1,1,0,0,0,128,3.455859375,201001,0.453125
CHLH,244,Health Statistics,0,6,4,2,6,4,3,2,3,0,1,0,0,0,31,2.936129032258065,201001,0.1935483870967742
CHLH,250,Health Care Systems,50,36,20,18,10,4,4,1,1,0,0,0,1,0,145,3.662137931034483,201001,0.593103448275862
CHLH,260,Introduction to Medical Ethics,4,60,25,10,23,6,4,9,1,0,0,0,1,0,143,3.461958041958042,201001,0.44755244755244755
CHLH,274,Introduction to Epidemiology,4,3,24,17,11,17,10,3,12,4,0,3,1,0,109,2.823394495412844,201001,0.06422018348623854
CHLH,304,Foundations of Health Behavior,30,56,31,14,3,4,2,1,0,0,0,0,1,0,142,3.737535211267605,201001,0.6056338028169014
CHLH,380,Orientation to Internship,0,100,0,3,0,3,3,0,0,1,0,1,0,0,111,3.846756756756757,201001,0.9009009009009009
CHLH,404,Gerontology,20,16,2,2,3,0,0,1,0,0,0,0,0,0,44,3.840909090909091,201001,0.8181818181818182
CHLH,409,Women's Health,0,12,3,11,5,2,0,2,1,0,1,2,2,0,41,3.024146341463415,201001,0.2926829268292683
CHLH,410,Public Health Practice,4,35,0,9,20,0,4,14,0,1,5,1,0,0,93,3.1213978494623653,201001,0.41935483870967744
CHLH,421,Health Data Analysis,7,16,22,10,26,12,7,6,1,3,1,1,1,0,113,3.1125663716814165,201001,0.20353982300884957
CHLH,455,Health Services Financing,12,31,7,3,5,2,2,0,0,0,0,0,1,0,63,3.6933333333333334,201001,0.6825396825396826
CHLH,457,Health Planning,6,42,12,7,11,1,3,1,0,0,0,0,0,0,83,3.6627710843373498,201001,0.5783132530120482
CHLH,458,Health Administration,12,20,7,16,11,5,2,2,0,0,0,0,0,0,75,3.493066666666667,201001,0.4266666666666667
CHLH,469,Environmental Health,21,17,10,8,6,5,0,1,0,0,0,1,1,1,71,3.562285714285714,201001,0.5428571428571428
CI,404,Tchg and Assessing Sec Sch Stu,0,20,0,0,3,0,0,0,0,0,0,0,0,0,23,3.869565217391304,201001,0.8695652173913043
CI,415,"Lang Varieties,Cult,& Learning",4,50,25,10,28,4,1,1,0,0,0,0,1,0,124,3.5488709677419354,201001,0.43548387096774194
CI,475,Teach Elem Rdg & Lang Arts I,13,9,3,1,0,1,0,0,0,0,0,0,1,0,28,3.750357142857143,201001,0.7857142857142857
CINE,193,Undergraduate Seminar,0,8,11,0,2,1,0,1,1,0,1,0,0,0,25,3.4284000000000003,201001,0.32
CINE,262,Survey of World Cinema II,2,24,23,19,14,11,5,0,4,0,1,0,5,1,109,3.170185185185185,201001,0.24074074074074073
CLCV,100,Vocab Building-GRK & LAT Roots,0,36,14,9,19,10,7,8,2,4,3,0,5,0,117,3.017264957264957,201001,0.3076923076923077
CLCV,102,Medical Terms-GRK & LAT Roots,47,53,26,24,9,7,2,0,1,1,0,0,0,0,170,3.6981764705882347,201001,0.5882352941176471
CLCV,111,Mythology of Greece and Rome,0,91,0,0,43,0,1,8,1,0,1,1,0,1,147,3.5251369863013697,201001,0.6232876712328768
CLCV,115,Mythology of Greece and Rome,0,224,10,7,103,0,0,24,0,0,1,0,4,0,373,3.5228150134048257,201001,0.6005361930294906
CMN,101,Public Speaking,17,304,218,118,117,49,15,17,9,6,2,3,9,0,884,3.4556561085972852,201001,0.36312217194570134
CMN,112,Oral & Written Comm II,0,202,101,55,28,10,4,6,6,0,1,0,1,1,415,3.6349275362318845,201001,0.48792270531400966
CMN,199,Undergraduate Open Seminar,0,20,0,0,0,0,1,0,0,0,0,0,1,0,22,3.742272727272727,201001,0.9090909090909091
CMN,212,Intro to Organizational Comm,24,41,26,27,20,11,10,5,1,2,1,0,2,1,171,3.3725294117647056,201001,0.38235294117647056
CMN,220,Communicating Public Policy,1,31,18,9,12,8,6,0,1,1,2,0,3,0,92,3.264891304347826,201001,0.34782608695652173
CMN,230,Intro to Interpersonal Comm,16,102,15,18,52,6,2,13,1,0,5,0,2,0,232,3.4324999999999997,201001,0.5086206896551724
CMN,232,Intro to Intercultural Comm,0,9,1,6,5,1,2,0,0,0,1,1,0,0,26,3.2173076923076924,201001,0.34615384615384615
CMN,260,Intro to Health Communication,2,16,12,12,7,4,3,0,0,1,1,0,1,1,60,3.338983050847458,201001,0.3050847457627119
CMN,323,Argumentation,3,44,35,21,14,8,3,3,1,0,0,0,3,0,135,3.4400000000000004,201001,0.34814814814814815
CMN,336,Family Communication,0,8,6,4,8,7,9,7,3,2,1,1,3,0,59,2.6159322033898302,201001,0.13559322033898305
CMN,340,Visual Politics,0,12,8,2,6,1,0,1,1,0,0,0,0,0,31,3.495483870967742,201001,0.3870967741935484
CMN,462,Interpersonal Health Comm,0,12,8,4,2,4,3,0,0,0,0,0,1,0,34,3.363235294117647,201001,0.35294117647058826
CPSC,116,The Global Food Production Web,0,180,0,0,14,0,0,1,0,0,0,0,0,0,195,3.917948717948718,201001,0.9230769230769231
CPSC,241,Intro to Applied Statistics,0,6,3,2,11,0,0,4,1,1,2,0,2,0,32,2.7396875,201001,0.1875
CPSC,418,Crop Growth and Management,0,22,0,16,5,0,5,1,0,0,2,0,0,0,51,3.371176470588235,201001,0.43137254901960786
CPSC,484,Plant Physiology,5,9,4,1,7,4,0,0,0,0,0,0,0,0,30,3.523,201001,0.4666666666666667
CPSC,542,Applied Statistical Methods II,4,20,0,0,10,1,0,0,0,0,0,0,0,0,35,3.6762857142857137,201001,0.6857142857142857
CS,101,Intro Computing: Engrg & Sci,66,78,83,65,40,44,17,20,13,12,5,1,11,4,459,3.203274725274725,201001,0.31648351648351647
CS,105,Intro Computing: Non-Tech,47,130,94,86,83,36,53,31,42,18,11,7,8,2,648,3.0646130030959755,201001,0.2739938080495356
CS,173,Discrete Structures,14,16,13,18,15,18,20,24,18,10,8,3,4,5,186,2.58939226519337,201001,0.16574585635359115
CS,210,Ethical & Professional Issues,0,25,17,6,1,0,3,3,0,0,0,0,0,0,55,3.6065454545454543,201001,0.45454545454545453
CS,225,Data Structures,1,32,6,9,34,5,5,32,0,0,15,0,14,0,153,2.5489542483660133,201001,0.21568627450980393
CS,241,System Programming,4,45,3,3,18,7,6,19,9,2,7,5,8,5,141,2.7184558823529414,201001,0.3602941176470588
CS,357,Numerical Methods I,2,56,25,14,20,12,2,5,3,0,1,2,4,0,146,3.317945205479452,201001,0.3972602739726027
CS,411,Database Systems,5,16,10,26,16,6,15,9,2,1,1,1,0,0,108,3.061018518518518,201001,0.19444444444444445
CS,418,Interactive Computer Graphics,9,15,7,9,1,4,0,1,1,0,0,0,0,0,47,3.5959574468085105,201001,0.5106382978723404
CS,421,Progrmg Languages & Compilers,19,19,2,6,7,6,9,3,3,0,2,0,4,1,81,3.129,201001,0.475
CS,425,Distributed Systems,2,2,2,4,3,5,5,4,5,0,0,0,2,0,34,2.559117647058823,201001,0.11764705882352941
CS,431,Embedded Systems,4,3,4,6,7,7,0,10,0,0,2,0,3,1,47,2.7032608695652174,201001,0.15217391304347827
CS,433,Computer System Organization,1,10,16,12,14,7,5,0,1,0,0,0,0,1,67,3.283181818181818,201001,0.16666666666666666
CS,438,Communication Networks,5,2,5,2,5,2,2,4,3,0,2,1,4,3,40,2.5321621621621624,201001,0.1891891891891892
CS,440,Artificial Intelligence,6,9,11,3,11,8,0,3,4,0,2,0,3,2,62,2.9900000000000007,201001,0.25
CS,450,Numerical Analysis,2,14,1,3,3,5,1,1,3,0,1,2,3,1,40,2.8638461538461537,201001,0.41025641025641024
CS,461,Computer Security I,0,11,13,9,8,10,11,9,0,0,1,0,0,0,72,3.0140277777777778,201001,0.1527777777777778
CS,473,Algorithms,5,8,11,12,11,10,10,16,9,4,4,7,3,1,111,2.5124545454545455,201001,0.11818181818181818
CS,598,Special Topics,0,17,4,1,0,0,0,0,0,0,0,0,0,0,22,3.9095454545454547,201001,0.7727272727272727
DANC,100,Intro to Contemporary Dance,16,9,0,0,5,0,0,0,0,0,0,0,0,0,30,3.8333333333333335,201001,0.8333333333333334
EALC,250,Intro to Japanese Culture,9,11,23,18,16,10,3,1,3,0,0,1,3,1,99,3.201224489795919,201001,0.20408163265306123
EALC,285,Intro to Korea Through Film,0,4,10,4,0,1,1,1,0,0,0,0,0,1,22,3.4771428571428578,201001,0.19047619047619047
EALC,365,Contemporary Korean Society,0,3,2,2,9,2,2,3,1,1,0,0,0,0,25,2.88,201001,0.12
ECE,210,Analog Signal Processing,6,26,17,20,28,15,23,39,31,3,6,3,1,3,221,2.6440366972477065,201001,0.14678899082568808
ECE,313,Probability with Engrg Applic,5,10,10,13,38,10,14,26,15,11,8,0,4,1,165,2.518231707317073,201001,0.09146341463414634
ECE,329,Fields and Waves I,19,20,11,18,17,11,6,15,10,6,10,0,7,3,153,2.7689333333333335,201001,0.26
ECE,333,Green Electric Energy,7,32,5,5,23,3,1,0,0,0,0,0,0,0,76,3.5571052631578945,201001,0.5131578947368421
ECE,385,Digital Systems Laboratory,11,28,22,9,24,5,5,3,0,1,0,0,1,0,109,3.4040366972477067,201001,0.3577981651376147
ECE,391,Computer Systems Engineering,5,13,6,6,13,4,2,2,1,0,2,1,2,1,58,3.0996491228070173,201001,0.3157894736842105
ECE,395,Advanced Digital Projects Lab,3,10,5,7,4,4,0,5,0,0,1,0,0,0,39,3.2651282051282053,201001,0.3333333333333333
ECE,411,Computer Organization & Design,1,10,7,8,12,3,2,3,5,1,0,1,2,1,56,2.933636363636363,201001,0.2
ECE,416,Biosensors,5,6,4,3,1,3,1,0,0,0,0,0,0,0,23,3.5656521739130436,201001,0.4782608695652174
ECE,420,Digital Signal Processing Lab,2,10,6,2,2,1,2,1,0,0,0,0,0,0,26,3.5388461538461535,201001,0.46153846153846156
ECE,430,Power Ckts & Electromechanics,3,16,6,3,31,8,3,30,7,4,9,0,1,3,124,2.6063636363636364,201001,0.15702479338842976
ECE,431,Electric Machinery,0,10,5,6,16,5,3,2,1,0,1,0,1,0,50,3.0668,201001,0.2
ECE,442,Electronic Circuits,7,11,7,11,15,11,6,6,2,0,0,0,1,0,77,3.091038961038961,201001,0.23376623376623376
ECE,444,IC Device Theory & Fabrication,4,15,3,13,9,2,3,4,0,1,0,0,0,0,54,3.3140740740740746,201001,0.35185185185185186
ECE,445,Senior Design Project Lab,18,31,5,12,6,10,5,8,5,0,9,0,1,0,110,3.1273636363636363,201001,0.44545454545454544
