,Year,Term,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total
35,2010,0,AE,441,Aerospace Systems Design II,1,22,26,12,12,1,0,1,0,0,0,0,0,0,75
36,2010,0,AFRO,100,Intro to African American St,0,18,26,4,8,6,1,2,0,2,1,1,1,1,71
37,2010,0,AFRO,101,"Black America, 1619-Present",0,3,9,4,3,2,1,0,1,0,0,0,0,0,23
38,2010,0,AGED,380,Leadership in Groups and Teams,0,5,10,5,1,1,0,0,0,0,0,0,1,0,23
39,2010,0,ANSC,100,Intro to Animal Sciences,7,14,0,2,7,0,2,1,0,0,0,0,0,0,33
40,2010,0,ANSC,205,World Animal Resources,0,33,0,0,35,0,0,3,0,0,0,0,1,0,72
41,2010,0,ANSC,250,Companion Animals in Society,0,76,0,0,60,0,0,13,0,0,6,0,2,1,158
42,2010,0,ANSC,298,Undergraduate Seminar,1,66,0,0,2,0,0,0,0,0,1,0,0,0,70
43,2010,0,ANSC,406,Zoo Animal Conservation Sci,0,35,0,0,23,0,0,0,0,0,0,0,0,0,58
44,2010,0,ANSC,409,Meat Science,2,10,0,0,7,0,0,3,0,0,0,0,0,0,22
45,2010,0,ANSC,450,Comparative Immunobiology,2,18,0,3,13,0,0,1,0,0,0,0,0,0,37
46,2010,0,ANTH,103,Anthro in a Changing World,1,38,19,38,48,34,25,19,19,12,4,1,5,6,269
47,2010,0,ANTH,105,World Archaeology,12,5,12,7,16,15,9,13,4,0,10,0,6,3,112
48,2010,0,ANTH,399,Special Topics,0,11,3,2,3,3,1,0,0,0,0,0,0,0,23
49,2010,0,ANTH,462,Museum Theory and Practice,16,6,1,2,0,0,0,0,0,0,0,0,0,1,26
50,2010,0,ARCH,199,Undergraduate Open Seminar,78,18,10,13,16,4,1,2,0,0,1,0,7,0,150
51,2010,0,ARTD,211,Design History Survey,20,41,5,3,1,0,0,0,0,0,0,0,0,0,70
52,2010,0,ARTD,302,Industrial Design IV,0,3,11,8,7,1,1,1,0,0,0,0,0,0,32
53,2010,0,ARTH,446,Art Since 1940,1,7,3,6,3,2,1,2,0,0,0,0,0,0,25
54,2010,0,ASTR,122,Stars and Galaxies,2,13,11,6,41,7,10,12,3,1,3,0,0,1,110
55,2010,0,ASTR,330,Extraterrestrial Life,1,55,5,11,16,1,1,4,4,1,0,0,0,1,100
56,2010,0,ASTR,414,Astronomical Techniques,0,12,0,1,5,0,0,2,0,0,1,0,3,0,24
57,2010,0,ATMS,100,Introduction to Meteorology,33,286,55,57,50,11,7,5,0,1,4,0,3,3,515
58,2010,0,ATMS,120,Severe and Hazardous Weather,371,446,91,51,61,13,15,9,4,2,2,6,2,0,1073
59,2010,0,ATMS,140,Climate and Global Change,0,16,0,0,23,0,0,10,0,0,0,0,5,0,54
60,2010,0,BADM,199,Undergraduate Open Seminar,1,25,11,3,0,0,0,0,0,0,0,0,0,0,40
61,2010,0,BADM,300,The Legal Environment of Bus,15,81,19,28,42,27,18,19,13,5,5,6,5,1,284
62,2010,0,BADM,310,Mgmt and Organizational Beh,96,99,85,84,57,52,39,27,26,10,14,3,6,2,600
63,2010,0,BADM,320,Principles of Marketing,9,58,105,105,120,64,64,33,22,13,7,1,5,2,608
64,2010,0,BADM,322,Marketing Research,0,14,15,7,15,5,6,5,0,0,0,0,0,0,67
65,2010,0,BADM,323,Marketing Communications,0,27,0,0,2,0,0,0,0,0,0,0,0,0,29
66,2010,0,BADM,325,Consumer Behavior,3,17,23,15,10,7,0,3,0,0,0,0,0,0,78
67,2010,0,BADM,335,Supply Chain Management Basics,3,21,8,4,2,0,0,0,0,0,0,0,0,0,38
68,2010,0,BADM,350,IT for Networked Organizations,10,46,42,25,9,3,1,1,0,0,0,0,0,0,137
69,2010,0,BADM,352,Database Design and Management,2,3,7,5,8,4,5,0,0,2,0,0,0,0,36
70,2010,0,BADM,374,Management Decision Models,5,26,20,8,15,9,2,8,2,2,2,0,1,0,100
71,2010,0,BADM,377,Project Management,0,6,8,18,7,3,1,1,0,0,0,0,0,0,44
72,2010,0,BADM,378,Logistics Management,0,1,2,5,4,8,0,3,1,1,1,2,1,0,29
73,2010,0,BADM,380,International Business,8,10,17,2,4,4,2,1,0,0,0,0,0,0,48
74,2010,0,BADM,381,Multinational Management,0,4,8,16,7,2,0,1,0,0,0,0,0,0,38
75,2010,0,BADM,382,International Marketing,5,41,6,10,3,2,0,0,0,0,0,0,0,0,67
76,2010,0,BADM,420,Advanced Marketing Management,0,3,20,20,14,0,0,0,0,0,0,0,0,0,57
77,2010,0,BADM,445,Small Business Consulting,2,23,0,1,1,0,0,0,0,0,0,0,0,0,27
78,2010,0,BADM,449,Business Policy and Strategy,25,143,78,32,16,5,1,5,1,0,0,0,0,0,306
79,2010,0,BADM,543,Technology Strategy,1,27,13,0,0,2,0,1,0,0,0,0,0,0,44
80,2010,0,BADM,544,Strategic Management,0,15,6,4,12,0,0,0,0,0,0,0,0,0,37
81,2010,0,BADM,589,Project Management,0,4,20,8,7,2,1,0,0,0,0,0,0,0,42
82,2010,0,BADM,590,Global Strategy,9,26,6,2,0,0,0,0,0,0,0,0,0,0,43
83,2010,0,BIOC,446,Physical Biochemistry,7,10,10,7,11,1,3,2,0,1,0,0,1,0,53
84,2010,0,BIOC,455,Technqs Biochem & Biotech,6,11,7,2,5,3,2,3,3,0,0,0,1,0,43
85,2010,0,BTW,250,Principles Bus Comm,9,260,135,62,44,15,5,6,4,0,2,1,4,1,548
86,2010,0,BTW,261,Principles Tech Comm,7,57,5,1,18,0,0,0,0,0,0,0,1,0,89
87,2010,0,CEE,201,Systems Engrg & Economics,16,19,20,25,21,15,8,4,0,0,0,0,0,0,128
88,2010,0,CEE,202,Engineering Risk & Uncertainty,0,15,41,29,29,12,7,3,1,0,0,0,0,0,137
89,2010,0,CEE,300,Behavior of Materials,0,0,15,15,30,11,12,8,1,0,1,0,1,1,95
90,2010,0,CEE,310,Transportation Engineering,3,5,15,15,22,17,12,3,3,1,0,1,0,0,97
91,2010,0,CEE,330,Environmental Engineering,3,45,26,7,8,1,0,0,0,0,0,0,0,0,90
92,2010,0,CEE,350,Water Resources Engineering,3,9,3,9,13,1,3,5,1,1,0,0,0,0,48
93,2010,0,CEE,360,Structural Engineering,4,14,10,9,27,5,1,1,0,0,0,0,0,0,71
94,2010,0,CEE,380,Geotechnical Engineering,1,18,21,17,28,13,4,8,4,1,1,0,0,0,116
95,2010,0,CEE,415,Geometric Design of Roads,5,6,10,6,4,0,1,1,0,0,0,0,0,2,35
96,2010,0,CEE,420,Construction Productivity,0,14,15,10,8,14,3,0,0,0,0,0,0,0,64
97,2010,0,CEE,460,Steel Structures I,4,16,11,6,18,4,5,6,3,1,0,1,0,0,75
98,2010,0,CEE,461,Reinforced Concrete I,3,8,5,16,16,6,9,2,1,1,0,0,0,0,67
99,2010,0,CEE,465,Design of Structural Systems,0,1,4,4,5,2,9,12,0,1,1,0,0,0,39
100,2010,0,CEE,470,Structural Analysis,1,5,4,3,7,10,1,6,1,0,1,0,0,0,39
101,2010,0,CEE,570,Finite Element Methods,1,23,20,10,11,2,0,0,0,0,0,0,0,0,67
102,2010,0,CEE,598,Special Topics,0,6,9,4,2,4,0,0,0,0,0,0,0,0,25
103,2010,0,CHBE,321,Thermodynamics,11,22,14,14,19,15,13,11,10,0,0,0,1,1,131
104,2010,0,CHBE,422,Mass Transfer Operations,9,16,14,7,13,17,9,15,4,6,4,0,2,0,116
105,2010,0,CHBE,424,Chemical Reaction Engineering,4,11,8,8,17,12,6,22,8,0,7,0,4,0,107
106,2010,0,CHBE,430,Unit Operations Laboratory,1,4,5,4,5,5,5,0,0,0,0,1,0,0,30
107,2010,0,CHBE,431,Process Design,4,7,6,12,6,9,16,1,0,0,0,0,1,0,62
108,2010,0,CHBE,494,Special Topics,3,22,3,6,12,6,0,0,0,0,0,0,0,0,52
109,2010,0,CHEM,102,General Chemistry I,8,96,33,71,117,99,113,144,76,47,44,33,16,7,904
110,2010,0,CHEM,103,General Chemistry Lab I,1,214,265,158,122,46,16,21,8,2,3,12,8,3,879
111,2010,0,CHEM,104,General Chemistry II,21,128,138,108,206,116,154,85,77,36,27,10,24,8,1138
112,2010,0,CHEM,105,General Chemistry Lab II,30,231,356,164,177,73,57,21,10,14,10,15,9,3,1170
113,2010,0,CHEM,108,"Chemistry, Everyday Phenomena",2,23,8,2,0,1,0,0,0,0,0,0,0,0,36
114,2010,0,CHEM,199,Undergraduate Open Seminar,20,287,4,6,2,3,0,0,0,0,0,0,0,0,322
115,2010,0,CHEM,204,Accelerated Chemistry II,3,37,16,17,39,19,17,22,6,6,7,0,5,1,195
116,2010,0,CHEM,205,Accelerated Chemistry Lab II,7,28,11,14,56,8,22,23,9,2,1,1,5,1,188
117,2010,0,CHEM,232,Elementary Organic Chemistry I,35,40,39,44,43,45,35,25,30,39,21,22,36,5,459
118,2010,0,CHEM,233,Elementary Organic Chem Lab I,11,43,32,54,82,64,59,62,27,9,7,2,4,1,457
119,2010,0,CHEM,236,Fundamental Organic Chem I,3,5,2,4,11,1,2,7,1,0,1,1,1,1,40
120,2010,0,CHEM,312,Inorganic Chemistry,15,25,12,11,24,8,0,10,5,0,8,0,2,1,121
121,2010,0,CHEM,315,Instrumental Chem Systems Lab,0,6,5,7,12,15,11,7,1,0,0,0,1,2,67
122,2010,0,CHEM,332,Elementary Organic Chem II,7,15,26,41,35,41,34,28,18,3,6,2,5,3,264
123,2010,0,CHEM,420,Instrumental Characterization,1,11,0,2,11,0,2,11,0,0,0,0,0,0,38
124,2010,0,CHEM,436,Fundamental Organic Chem II,6,30,10,21,13,14,21,17,0,0,5,0,1,1,139
125,2010,0,CHEM,442,Physical Chemistry I,3,2,4,4,7,7,3,1,2,0,0,0,0,0,33
126,2010,0,CHLH,100,Contemporary Health,16,85,34,21,15,8,3,1,1,1,1,0,2,1,189
127,2010,0,CHLH,101,Introduction to Public Health,0,133,40,32,90,26,6,17,8,1,3,0,1,1,358
128,2010,0,CHLH,199,Undergraduate Open Seminar,25,91,15,7,6,4,3,3,4,0,2,0,2,0,162
129,2010,0,CHLH,206,Human Sexuality,81,192,100,50,96,42,22,35,16,9,21,6,10,4,684
130,2010,0,CHLH,210,Community Health Organizations,6,52,15,14,24,6,2,6,1,1,1,0,0,0,128
131,2010,0,CHLH,244,Health Statistics,0,6,4,2,6,4,3,2,3,0,1,0,0,0,31
132,2010,0,CHLH,250,Health Care Systems,50,36,20,18,10,4,4,1,1,0,0,0,1,0,145
133,2010,0,CHLH,260,Introduction to Medical Ethics,4,60,25,10,23,6,4,9,1,0,0,0,1,0,143
134,2010,0,CHLH,274,Introduction to Epidemiology,4,3,24,17,11,17,10,3,12,4,0,3,1,0,109
135,2010,0,CHLH,304,Foundations of Health Behavior,30,56,31,14,3,4,2,1,0,0,0,0,1,0,142
136,2010,0,CHLH,380,Orientation to Internship,0,100,0,3,0,3,3,0,0,1,0,1,0,0,111
137,2010,0,CHLH,404,Gerontology,20,16,2,2,3,0,0,1,0,0,0,0,0,0,44
138,2010,0,CHLH,409,Women's Health,0,12,3,11,5,2,0,2,1,0,1,2,2,0,41
139,2010,0,CHLH,410,Public Health Practice,4,35,0,9,20,0,4,14,0,1,5,1,0,0,93
140,2010,0,CHLH,421,Health Data Analysis,7,16,22,10,26,12,7,6,1,3,1,1,1,0,113
141,2010,0,CHLH,455,Health Services Financing,12,31,7,3,5,2,2,0,0,0,0,0,1,0,63
142,2010,0,CHLH,457,Health Planning,6,42,12,7,11,1,3,1,0,0,0,0,0,0,83
143,2010,0,CHLH,458,Health Administration,12,20,7,16,11,5,2,2,0,0,0,0,0,0,75
144,2010,0,CHLH,469,Environmental Health,21,17,10,8,6,5,0,1,0,0,0,1,1,1,71
145,2010,0,CI,404,Tchg and Assessing Sec Sch Stu,0,20,0,0,3,0,0,0,0,0,0,0,0,0,23
146,2010,0,CI,415,"Lang Varieties,Cult,& Learning",4,50,25,10,28,4,1,1,0,0,0,0,1,0,124
147,2010,0,CI,475,Teach Elem Rdg & Lang Arts I,13,9,3,1,0,1,0,0,0,0,0,0,1,0,28
148,2010,0,CINE,193,Undergraduate Seminar,0,8,11,0,2,1,0,1,1,0,1,0,0,0,25
149,2010,0,CINE,262,Survey of World Cinema II,2,24,23,19,14,11,5,0,4,0,1,0,5,1,109
150,2010,0,CLCV,100,Vocab Building-GRK & LAT Roots,0,36,14,9,19,10,7,8,2,4,3,0,5,0,117
151,2010,0,CLCV,102,Medical Terms-GRK & LAT Roots,47,53,26,24,9,7,2,0,1,1,0,0,0,0,170
152,2010,0,CLCV,111,Mythology of Greece and Rome,0,91,0,0,43,0,1,8,1,0,1,1,0,1,147
153,2010,0,CLCV,115,Mythology of Greece and Rome,0,224,10,7,103,0,0,24,0,0,1,0,4,0,373
154,2010,0,CMN,101,Public Speaking,17,304,218,118,117,49,15,17,9,6,2,3,9,0,884
155,2010,0,CMN,112,Oral & Written Comm II,0,202,101,55,28,10,4,6,6,0,1,0,1,1,415
156,2010,0,CMN,199,Undergraduate Open Seminar,0,20,0,0,0,0,1,0,0,0,0,0,1,0,22
157,2010,0,CMN,212,Intro to Organizational Comm,24,41,26,27,20,11,10,5,1,2,1,0,2,1,171
158,2010,0,CMN,220,Communicating Public Policy,1,31,18,9,12,8,6,0,1,1,2,0,3,0,92
159,2010,0,CMN,230,Intro to Interpersonal Comm,16,102,15,18,52,6,2,13,1,0,5,0,2,0,232
160,2010,0,CMN,232,Intro to Intercultural Comm,0,9,1,6,5,1,2,0,0,0,1,1,0,0,26
161,2010,0,CMN,260,Intro to Health Communication,2,16,12,12,7,4,3,0,0,1,1,0,1,1,60
162,2010,0,CMN,323,Argumentation,3,44,35,21,14,8,3,3,1,0,0,0,3,0,135
163,2010,0,CMN,336,Family Communication,0,8,6,4,8,7,9,7,3,2,1,1,3,0,59
164,2010,0,CMN,340,Visual Politics,0,12,8,2,6,1,0,1,1,0,0,0,0,0,31
165,2010,0,CMN,462,Interpersonal Health Comm,0,12,8,4,2,4,3,0,0,0,0,0,1,0,34
166,2010,0,CPSC,116,The Global Food Production Web,0,180,0,0,14,0,0,1,0,0,0,0,0,0,195
167,2010,0,CPSC,241,Intro to Applied Statistics,0,6,3,2,11,0,0,4,1,1,2,0,2,0,32
168,2010,0,CPSC,418,Crop Growth and Management,0,22,0,16,5,0,5,1,0,0,2,0,0,0,51
169,2010,0,CPSC,484,Plant Physiology,5,9,4,1,7,4,0,0,0,0,0,0,0,0,30
170,2010,0,CPSC,542,Applied Statistical Methods II,4,20,0,0,10,1,0,0,0,0,0,0,0,0,35
171,2010,0,CS,101,Intro Computing: Engrg & Sci,66,78,83,65,40,44,17,20,13,12,5,1,11,4,459
172,2010,0,CS,105,Intro Computing: Non-Tech,47,130,94,86,83,36,53,31,42,18,11,7,8,2,648
173,2010,0,CS,173,Discrete Structures,14,16,13,18,15,18,20,24,18,10,8,3,4,5,186
174,2010,0,CS,210,Ethical & Professional Issues,0,25,17,6,1,0,3,3,0,0,0,0,0,0,55
175,2010,0,CS,225,Data Structures,1,32,6,9,34,5,5,32,0,0,15,0,14,0,153
176,2010,0,CS,241,System Programming,4,45,3,3,18,7,6,19,9,2,7,5,8,5,141
177,2010,0,CS,357,Numerical Methods I,2,56,25,14,20,12,2,5,3,0,1,2,4,0,146
178,2010,0,CS,411,Database Systems,5,16,10,26,16,6,15,9,2,1,1,1,0,0,108
179,2010,0,CS,418,Interactive Computer Graphics,9,15,7,9,1,4,0,1,1,0,0,0,0,0,47
180,2010,0,CS,421,Progrmg Languages & Compilers,19,19,2,6,7,6,9,3,3,0,2,0,4,1,81
181,2010,0,CS,425,Distributed Systems,2,2,2,4,3,5,5,4,5,0,0,0,2,0,34
182,2010,0,CS,431,Embedded Systems,4,3,4,6,7,7,0,10,0,0,2,0,3,1,47
183,2010,0,CS,433,Computer System Organization,1,10,16,12,14,7,5,0,1,0,0,0,0,1,67
184,2010,0,CS,438,Communication Networks,5,2,5,2,5,2,2,4,3,0,2,1,4,3,40
185,2010,0,CS,440,Artificial Intelligence,6,9,11,3,11,8,0,3,4,0,2,0,3,2,62
186,2010,0,CS,450,Numerical Analysis,2,14,1,3,3,5,1,1,3,0,1,2,3,1,40
187,2010,0,CS,461,Computer Security I,0,11,13,9,8,10,11,9,0,0,1,0,0,0,72
188,2010,0,CS,473,Algorithms,5,8,11,12,11,10,10,16,9,4,4,7,3,1,111
189,2010,0,CS,598,Special Topics,0,17,4,1,0,0,0,0,0,0,0,0,0,0,22
190,2010,0,DANC,100,Intro to Contemporary Dance,16,9,0,0,5,0,0,0,0,0,0,0,0,0,30
191,2010,0,EALC,250,Intro to Japanese Culture,9,11,23,18,16,10,3,1,3,0,0,1,3,1,99
192,2010,0,EALC,285,Intro to Korea Through Film,0,4,10,4,0,1,1,1,0,0,0,0,0,1,22
193,2010,0,EALC,365,Contemporary Korean Society,0,3,2,2,9,2,2,3,1,1,0,0,0,0,25
194,2010,0,ECE,210,Analog Signal Processing,6,26,17,20,28,15,23,39,31,3,6,3,1,3,221
195,2010,0,ECE,313,Probability with Engrg Applic,5,10,10,13,38,10,14,26,15,11,8,0,4,1,165
196,2010,0,ECE,329,Fields and Waves I,19,20,11,18,17,11,6,15,10,6,10,0,7,3,153
197,2010,0,ECE,333,Green Electric Energy,7,32,5,5,23,3,1,0,0,0,0,0,0,0,76
198,2010,0,ECE,385,Digital Systems Laboratory,11,28,22,9,24,5,5,3,0,1,0,0,1,0,109
199,2010,0,ECE,391,Computer Systems Engineering,5,13,6,6,13,4,2,2,1,0,2,1,2,1,58
200,2010,0,ECE,395,Advanced Digital Projects Lab,3,10,5,7,4,4,0,5,0,0,1,0,0,0,39
201,2010,0,ECE,411,Computer Organization & Design,1,10,7,8,12,3,2,3,5,1,0,1,2,1,56
202,2010,0,ECE,416,Biosensors,5,6,4,3,1,3,1,0,0,0,0,0,0,0,23
203,2010,0,ECE,420,Digital Signal Processing Lab,2,10,6,2,2,1,2,1,0,0,0,0,0,0,26
204,2010,0,ECE,430,Power Ckts & Electromechanics,3,16,6,3,31,8,3,30,7,4,9,0,1,3,124
205,2010,0,ECE,431,Electric Machinery,0,10,5,6,16,5,3,2,1,0,1,0,1,0,50
206,2010,0,ECE,442,Electronic Circuits,7,11,7,11,15,11,6,6,2,0,0,0,1,0,77
207,2010,0,ECE,444,IC Device Theory & Fabrication,4,15,3,13,9,2,3,4,0,1,0,0,0,0,54
208,2010,0,ECE,445,Senior Design Project Lab,18,31,5,12,6,10,5,8,5,0,9,0,1,0,110
209,2010,0,ECE,486,Control Systems,2,13,1,1,13,2,1,5,0,0,3,0,3,0,44
210,2010,0,ECE,490,Introduction to Optimization,4,34,0,2,8,0,0,1,0,0,0,0,0,1,50
211,2010,0,ECE,515,Control System Theory & Design,3,6,9,2,23,3,1,1,1,0,0,0,1,0,50
212,2010,0,ECE,534,Random Processes,1,12,13,0,3,2,2,2,1,0,0,0,0,0,36
213,2010,0,ECE,549,Computer Vision,1,25,3,2,0,0,0,0,0,0,0,0,0,0,31
214,2010,0,ECON,102,Microeconomic Principles,43,208,118,54,261,55,27,105,24,11,33,12,17,4,972
215,2010,0,ECON,103,Macroeconomic Principles,7,120,74,69,163,79,69,126,28,16,54,6,51,17,879
216,2010,0,ECON,202,Economic Statistics I,20,52,25,20,85,23,32,14,15,11,3,1,2,1,304
217,2010,0,ECON,203,Economic Statistics II,53,59,76,84,135,82,60,96,51,26,26,11,39,3,801
218,2010,0,ECON,302,Inter Microeconomic Theory,26,88,81,69,83,60,53,41,34,12,19,13,12,2,593
219,2010,0,ECON,303,Inter Macroeconomic Theory,1,16,15,14,35,14,9,21,5,2,2,1,0,2,137
220,2010,0,ECON,411,Public Sector Economics,1,7,19,7,21,12,5,7,1,0,0,0,0,0,80
221,2010,0,ECON,414,Urban Economics,0,12,3,3,24,1,0,17,0,0,0,0,3,0,63
222,2010,0,ECON,440,Economics of Labor Markets,1,11,6,13,8,6,5,2,1,2,1,0,0,0,56
223,2010,0,ECON,450,Development Economics,0,18,7,9,12,3,2,3,0,2,0,2,0,0,58
224,2010,0,ECON,462,Macroeconomic Policy,1,2,2,2,13,5,3,1,3,0,0,0,0,1,33
225,2010,0,ECON,484,Law and Economics,4,8,8,5,10,6,2,8,3,2,1,0,3,1,61
226,2010,0,ECON,567,Microeconomics for Business,1,12,15,6,0,0,0,0,0,0,0,0,0,0,34
227,2010,0,ENG,298,Special Topics,23,40,28,17,6,8,1,1,1,0,0,0,1,0,126
228,2010,0,ENG,360,Lect in Engrg Entrepreneurship,5,21,13,17,9,6,5,3,4,3,1,0,3,0,90
229,2010,0,ENG,498,Special Topics,0,32,2,0,1,0,0,0,0,0,0,0,0,0,35
230,2010,0,ENGL,109,Intro to Fiction-ACP,19,69,59,46,22,7,4,3,0,0,0,0,3,4,236
231,2010,0,ENGL,115,Intro to British Literature,1,6,10,8,13,4,1,3,0,0,0,0,1,0,47
232,2010,0,ENGL,120,Science Fiction,0,18,8,4,1,0,1,0,0,0,0,0,1,0,33
233,2010,0,ENGL,202,Medieval Lit and Culture,0,5,8,2,5,6,0,2,0,0,1,0,1,0,30
234,2010,0,ENGL,204,Renaissance Lit and Culture,0,8,7,7,3,2,3,0,0,0,0,0,0,0,30
235,2010,0,ENGL,218,Introduction to Shakespeare,15,17,11,6,4,0,1,0,0,0,0,0,1,0,55
236,2010,0,ENGL,245,The Short Story,1,15,8,5,3,0,2,0,0,0,0,0,1,0,35
237,2010,0,ENGL,280,Women Writers,1,4,6,12,4,1,0,0,0,0,0,0,0,0,28
238,2010,0,ENGL,286,Asian American Literature,0,8,2,12,9,3,1,0,0,0,0,0,0,0,35
239,2010,0,ENGL,455,Major Authors,1,37,49,33,7,4,0,0,0,0,0,0,2,1,134
240,2010,0,EPS,201,Foundations of Education,5,15,10,4,8,1,0,0,0,0,0,0,0,0,43
241,2010,0,EPS,202,Foundations of Education-ACP,14,44,23,10,4,0,1,0,0,0,0,0,0,0,96
242,2010,0,EPS,420,Sociology of Education,4,5,7,4,3,0,0,0,0,0,0,0,0,0,23
243,2010,0,EPSY,201,Educational Psychology,27,136,24,20,15,1,0,1,0,0,0,3,0,0,227
244,2010,0,EPSY,220,Career Theory and Practice,4,46,2,2,7,0,0,4,0,0,1,0,3,0,69
245,2010,0,EPSY,420,Theories of Psychotherapy,2,7,13,21,32,25,10,5,4,1,4,0,2,1,127
246,2010,0,EPSY,480,Educational Statistics,17,7,9,1,2,0,0,0,0,0,0,0,0,0,36
247,2010,0,EPSY,581,Applied Regression Analysis,1,10,0,3,14,3,3,1,0,0,0,0,0,0,35
248,2010,0,FIN,221,Corporate Finance,1,207,44,41,208,35,28,101,18,20,52,0,18,3,776
249,2010,0,FIN,232,Personal Wealth Management,1,35,18,32,46,23,16,18,9,11,7,9,1,0,226
250,2010,0,FIN,241,Fundamentals of Real Estate,3,44,13,13,27,1,1,1,0,0,0,0,0,0,103
251,2010,0,FIN,300,Financial Markets,1,18,20,33,66,49,19,25,8,5,3,3,9,0,259
252,2010,0,FIN,311,Investments,8,10,7,12,12,15,3,0,2,0,0,0,0,0,69
253,2010,0,FIN,321,Advanced Corporate Finance,1,17,25,21,43,27,10,6,2,0,0,0,0,0,152
254,2010,0,FIN,412,Options and Futures Markets,1,4,14,6,3,0,0,0,0,0,0,0,0,2,30
255,2010,0,FIN,418,Financial Modeling,0,8,7,2,2,2,0,0,0,0,0,0,0,0,21
256,2010,0,FIN,500,Introduction to Finance,0,59,5,9,3,0,0,0,0,0,0,0,0,0,76
257,2010,0,FIN,511,Investments,2,17,7,4,3,3,1,2,1,0,0,0,0,0,40
258,2010,0,FIN,512,Financial Derivatives,7,16,8,4,0,2,0,0,0,0,0,0,0,0,37
259,2010,0,FR,199,Undergraduate Open Seminar,1,10,11,1,2,0,1,2,0,0,0,0,0,0,28
